Unnamed: 0,회계연도,지역명,자치단체코드,자치단체명,부채,자산_x,지자체 자산대비 부채비율(%),전년도자산,총자산증가율
118,2013,강원,4214000,강원동해시,"61,699,252,934",2246553137947,2.75,2253988895103,-0.32989324712978274
119,2013,강원,4215000,강원태백시,"29,068,910,619",1477612394773,1.97,1436456771939,2.865079105613886
120,2013,강원,4216000,강원속초시,"74,583,234,452",1919975670031,3.88,1918113970766,0.09705884495781704
121,2013,강원,4217000,강원삼척시,"23,011,602,708",2632225938270,0.87,2481971424294,6.053837385284969
122,2013,강원,4271000,강원홍천군,"49,344,314,389",2329794658853,2.12,2182645199102,6.741794764056995
123,2013,강원,4272000,강원횡성군,"19,449,340,581",2021379357993,0.96,1942113790969,4.081406938799974
124,2013,강원,4273000,강원영월군,"13,362,050,929",2119091374898,0.63,2021456650229,4.82991928904038
125,2013,강원,4274000,강원평창군,"37,585,043,058",2511295477649,1.5,2422228982436,3.677046879499689
126,2013,강원,4275000,강원정선군,"20,256,260,342",1985629411430,1.02,2115183673306,-6.12496510402374
127,2013,강원,4276000,강원철원군,"29,964,042,537",1595416116326,1.88,1525020540042,4.616041189980383
128,2013,강원,4277000,강원화천군,"14,783,382,326",2049455002335,0.72,1994109649325,2.775441813279136
129,2013,강원,4278000,강원양구군,"5,361,169,515",1342001529519,0.4,1229942236101,9.110939532675577
130,2013,강원,4279000,강원인제군,"19,747,733,146",2038312196160,0.97,1981621353289,2.860831246943684
131,2013,강원,4280000,강원고성군,"29,012,768,364",1572374740762,1.85,1516272863712,3.699985562800124
132,2013,강원,4281000,강원양양군,"29,600,163,010",1192604008934,2.48,1152702270273,3.4615823782102795
133,2013,충북,4300000,충북본청,"737,148,350,672",8709476835856,8.46,8518456453194,2.242429525954515
134,2013,충북,4311000,충북청주시,"241,701,337,708",7141092569908,3.38,6924188565471,3.132554845756799
135,2013,충북,4312000,충북충주시,"167,735,393,923",5306176764596,3.16,4909887236545,8.071255182835154
136,2013,충북,4313000,충북제천시,"110,433,457,620",3050905740186,3.62,2897602786244,5.290682169060101
137,2013,충북,4372000,충북보은군,"46,380,343,928",1428339507862,3.25,1373366928746,4.002759784393134
138,2013,충북,4373000,충북옥천군,"49,663,159,515",1653471691913,3.0,1571764741925,5.198421100089725
139,2013,충북,4374000,충북영동군,"9,736,347,998",2174150370583,0.45,2077503674068,4.652058993751584
140,2013,충북,4379000,충북증평군,"33,891,519,527",870872609622,3.89,825967999898,5.43660404877009
141,2013,충북,4375000,충북진천군,"74,878,505,095",1569436955714,4.77,1486272461811,5.595507959668804
142,2013,충북,4376000,충북괴산군,"49,170,609,895",1701360600199,2.89,1606343208362,5.915136400638189
143,2013,충북,4377000,충북음성군,"66,407,835,612",1895081439704,3.5,1803976644499,5.050220327564252
144,2013,충북,4378000,충북단양군,"13,001,282,452",1475586182568,0.88,1414987039428,4.2826641835883414
145,2013,충남,4400000,충남본청,"983,467,628,594",13303466536323,7.39,13091811078768,1.616701129290339
146,2013,충남,4411000,충남천안시,"614,429,864,589",8220227494965,7.47,7899109781942,4.065239272368399
147,2013,충남,4412000,충남공주시,"37,178,248,020",2789467659409,1.33,2699755305045,3.3229809455825725
148,2013,충남,4413000,충남보령시,"139,115,342,077",3022462794154,4.6,3091701888452,-2.2395139245675355
149,2013,충남,4414000,충남아산시,"195,379,780,218",4243379976731,4.6,3936913742972,7.784428457598026
150,2013,충남,4415000,충남서산시,"200,907,842,491",3397843256242,5.91,3185085960991,6.679797589663897
151,2013,충남,4416000,충남논산시,"98,123,996,366",2732502806027,3.59,2642325239469,3.4128110049057407
152,2013,충남,4417000,충남계룡시,"82,886,160,972",970984898512,8.54,912864442483,6.366822205377154
153,2013,충남,4418000,충남당진시,"107,117,615,978",2895693307165,3.7,2808990352733,3.086623432068486
154,2013,충남,4471000,충남금산군,"62,442,419,602",1793991997476,3.48,1649300395846,8.772907712532332
155,2013,충남,4473000,충남부여군,"49,941,469,150",2390447745431,2.09,2263613060201,5.6031963881113835
156,2013,충남,4474000,충남서천군,"82,428,775,005",1657462734272,4.97,1484844262151,11.62535873431861
157,2013,충남,4475000,충남청양군,"12,257,357,406",1321553726861,0.93,1264538819285,4.508751072445334
158,2013,충남,4476000,충남홍성군,"42,779,446,689",1974469624895,2.17,1890518193819,4.440657135724852
159,2013,충남,4477000,충남예산군,"29,615,962,805",2125477310723,1.39,2014982364524,5.4836681523563735
160,2013,충남,4478000,충남태안군,"9,834,287,268",2130601227167,0.46,2062241931966,3.3148048316441194
161,2013,전북,4500000,전북본청,"819,864,223,572",13715616290589,5.98,13598780508915,0.859163669840877
162,2013,전북,4511000,전북전주시,"342,616,485,141",9059861787472,3.78,8898712614238,1.810926818517099
163,2013,전북,4512000,전북군산시,"166,712,137,071",4661572555163,3.58,4396915621369,6.019149708212909
164,2013,전북,4513000,전북익산시,"330,413,349,987",4557088027644,7.25,4452234910052,2.355067055317963
165,2013,전북,4514000,전북정읍시,"145,259,875,848",2917838138174,4.98,2906352910941,0.3951766211792011
166,2013,전북,4515000,전북남원시,"40,121,528,083",2253094138560,1.78,2161798083040,4.223153690265843
167,2013,전북,4516000,전북김제시,"68,747,611,156",2310545541472,2.98,2213179997140,4.399350457613995
168,2013,전북,4571000,전북완주군,"220,962,975,106",2759348540705,8.01,2496317440916,10.536764895272423
169,2013,전북,4572000,전북진안군,"48,655,550,514",1628860387615,2.99,1534632521517,6.1400931347952135
170,2013,전북,4573000,전북무주군,"5,971,837,176",1382168974668,0.43,1310832143660,5.44210266379485
171,2013,전북,4574000,전북장수군,"10,305,444,281",1305417198606,0.79,1241143017928,5.178628066997563
172,2013,전북,4575000,전북임실군,"19,292,088,930",1547578387439,1.25,1455648492693,6.315391058175488
173,2013,전북,4576000,전북순창군,"11,687,815,581",1482502918496,0.79,1395199973935,6.257378597476042
174,2013,전북,4577000,전북고창군,"48,994,421,643",2228617960362,2.2,2090998596648,6.581513920411633
175,2013,전북,4578000,전북부안군,"27,329,057,939",1811341893769,1.51,1686553460393,7.3990203279368245
176,2013,전남,4600000,전남본청,"1,221,466,970,241",20811153063857,5.87,20486642557185,1.584010194770489
177,2013,전남,4611000,전남목포시,"309,560,530,283",4014652130362,7.71,3948624360429,1.6721714679850272
178,2013,전남,4612000,전남여수시,"422,539,803,293",6218113943795,6.8,6067238209267,2.4867283815815058
179,2013,전남,4613000,전남순천시,"224,508,606,897",5128325681886,4.38,4922260318459,4.186397104074991
180,2013,전남,4614000,전남나주시,"119,189,245,380",2194706604832,5.43,2075672547151,5.734722359959052
181,2013,전남,4615000,전남광양시,"38,889,625,378",2794077259833,1.39,2693649951219,3.728298421573005
182,2013,전남,4671000,전남담양군,"44,337,160,898",1586014524775,2.8,1552090846417,2.185676079226469
183,2013,전남,4672000,전남곡성군,"22,507,345,836",1412256826503,1.59,1345121571228,4.991017667920551
184,2013,전남,4673000,전남구례군,"12,143,817,874",1092836876539,1.11,1021762972528,6.956007011601932
185,2013,전남,4674000,전남고흥군,"26,323,932,662",2420346347322,1.09,2202175581246,9.907055910253899
186,2013,전남,4675000,전남보성군,"11,774,330,503",2185979313103,0.54,2110175443864,3.5923017424652364
187,2013,전남,4676000,전남화순군,"71,515,997,899",2050916695195,3.49,1959307772437,4.675575937927109
188,2013,전남,4677000,전남장흥군,"55,268,878,316",2081722585311,2.65,2036509310848,2.220135907170159
189,2013,전남,4678000,전남강진군,"99,351,994,692",1515367837935,6.56,1469561346195,3.117018003950807
190,2013,전남,4679000,전남해남군,"26,950,110,215",2175263202417,1.24,2046672265930,6.282927590684323
191,2013,전남,4680000,전남영암군,"17,832,800,614",2505174626777,0.71,2421820092016,3.441813660552012
192,2013,전남,4681000,전남무안군,"33,461,527,664",2151178889139,1.56,2059988953182,4.426719658673013
193,2013,전남,4682000,전남함평군,"21,295,141,479",1712207334902,1.24,1649315296501,3.813221070248036
194,2013,전남,4683000,전남영광군,"12,823,852,640",1937279032398,0.66,1840305050492,5.269451490125199
195,2013,전남,4684000,전남장성군,"27,834,305,796",2025412260943,1.37,1940908417389,4.353829515958227
196,2013,전남,4685000,전남완도군,"27,899,640,236",1742162760748,1.6,1788360238599,-2.5832310992997174
197,2013,전남,4686000,전남진도군,"26,456,127,710",1530994459258,1.73,1473141196133,3.927204213476956
198,2013,전남,4687000,전남신안군,"63,837,471,618",2052283028177,3.11,2014396264918,1.8807999160255717
199,2013,경북,4700000,경북본청,"1,119,490,433,861",24373382740284,4.59,23777707056315,2.5051855612410594
