iter	Passed	Remaining
935	3194	218
936	3198	215
937	3201	211
938	3204	208
939	3207	204
940	3211	201
941	3214	197
942	3217	194
943	3220	191
944	3223	187
945	3227	184
946	3231	180
947	3234	177
948	3237	173
949	3240	170
950	3244	167
951	3247	163
952	3250	160
953	3254	156
954	3257	153
955	3261	150
956	3264	146
957	3267	143
958	3270	139
959	3274	136
960	3277	133
961	3281	129
962	3284	126
963	3287	122
964	3291	119
965	3294	115
966	3297	112
967	3300	109
968	3304	105
969	3308	102
970	3311	98
971	3314	95
972	3317	92
973	3321	88
974	3325	85
975	3328	81
976	3331	78
977	3334	75
978	3338	71
979	3342	68
980	3345	64
981	3348	61
982	3351	57
983	3355	54
984	3358	51
985	3361	47
986	3365	44
987	3368	40
988	3372	37
989	3375	34
990	3379	30
991	3382	27
992	3385	23
993	3389	20
994	3392	17
995	3395	13
996	3398	10
997	3401	6
998	3405	3
999	3408	0
